<<<<<<< HEAD
amount,category,date,description
200.0,Food,2026-04-29,pizza
100.0,Travel,2026-04-29,uber
300.0,Other,2026-04-29,pizza
500.0,Other,2026-04-29,ride
250.0,Food,2026-04-29,burger
400.0,Food,2026-04-29,pizza
300.0,Food,2026-04-29,food
500.0,Food,2026-04-29,i ordered pizza and burger from zomato
80.0,Travel,2026-04-29,uber ride to station
100.0,Entertainment,2026-04-29,netflix movie night
500.0,Food,2026-04-29,momos
500.0,Travel,2026-04-29,uber
500.0,Entertainment,2026-04-29,repido
500.0,Food,2026-04-29,pizza
500.0,Entertainment,2026-04-30,dance class
=======
amount,category,date,description
200.0,Food,2026-04-29,pizza
100.0,Travel,2026-04-29,uber
300.0,Other,2026-04-29,pizza
500.0,Other,2026-04-29,ride
250.0,Food,2026-04-29,burger
400.0,Food,2026-04-29,pizza
300.0,Food,2026-04-29,food
500.0,Food,2026-04-29,i ordered pizza and burger from zomato
80.0,Travel,2026-04-29,uber ride to station
100.0,Entertainment,2026-04-29,netflix movie night
>>>>>>> cf4a782663c4ad0b009758a3bb656d3c6ff35356
